Course_code,Course_Description,Credits,Type
ge101,Technology Museum,1,OE
ge102,Workshop Practice,2,OE
ge103,Introduction to Computing,3,OE
ge104,Introduction to Electrical Engineering,3,OE
ge105,Engineering Drawing,1.5,OE
ge201,Material Science,3,OE
cs101,Discrete Mathematics,3,PC
cs201,Data Structures,4,PC
cs203,Digital Logic Design,4,PC
cs204,Computer Architecture,4,PC
cs301,Databases,4,PE
cs302,Design and Analysis of Algorithms,3,PE
cs304,Computer Networks,4,PE
cs305,Software Engineering,4,PE
ee201,Systems & Signals,3,OE
ee203,Digital Circuits,3,OE
ee207,Control Engineering,3,OE
ee304,Communication Engineering Lab,1.5,OE
ee309,Power Systems,3,OE
hs101,History of Tech,1.5,OE
hs103,Professional English,3,OE
hs104,Professional Ethics,1.5,OE
hs201,Economics,3,OE
hs301,Industry Management,3,OE
ma101,Calculus,3,SC
ma202,Probability and Statistcs,3,SC
me101,Engineering Mechanics,3,OE
me103,Thermodynamics,3,OE
me205,Design Lab,2,OE
me204,Fluid Mechanics,3,OE
me301,Vibrations and Control,3,OE
me303,Thermo Fluids Lab,1,OE
me308,Manufacturing Lab,2,OE
bm101,Biology,3,SC
cy101,Chemistry,4,SC
ph101,Physucs,4.5,SC
